	time	surge
0	3600	0.30398663831457035
1	7200	-0.01911889198451759
2	10800	-0.28988503342280925
3	14400	-0.47643823444935735
4	18000	-0.5059068511796994
5	21600	-0.47128783202296726
6	25200	-0.34350274358044525
7	28800	-0.0778329484796535
8	32400	0.20974354961833286
9	36000	0.37342001309460543
10	39600	0.38549384047630575
11	43200	0.34650618669589794
12	46800	0.22877572629978027
13	50400	-0.05611454323308361
14	54000	-0.3973547755446782
15	57600	-0.5566122270502614
16	61200	-0.6033259592546556
17	64800	-0.5791084699908249
18	68400	-0.39790685459582487
19	72000	-0.08199481606958685
20	75600	0.27959101881455556
21	79200	0.5480506218328
22	82800	0.6864280589009317
23	86400	0.6833234856310322
24	90000	0.5439719348231852
25	93600	0.28976503297584283
26	97200	-0.059216671627239065
27	100800	-0.3605784267203153
28	104400	-0.5286706694161638
29	108000	-0.5783369671284493
30	111600	-0.5209331964074492
31	115200	-0.3272408910711409
32	118800	0.009073480493835462
33	122400	0.30234182802885423
34	126000	0.46198512184055396
35	129600	0.5097849079947114
36	133200	0.434791027293573
37	136800	0.2408844499702014
38	140400	-0.07990613747362747
39	144000	-0.3821554634749072
40	147600	-0.5568569011386425
41	151200	-0.624313208038601
42	154800	-0.5719221810452948
43	158400	-0.3702322227623964
44	162000	-0.01510626025273507
45	165600	0.3639666997205535
46	169200	0.6177750604589889
47	172800	0.7207033893883259
48	176400	0.7156642707658595
49	180000	0.5820615059446179
50	183600	0.28978791191263176
51	187200	-0.06401755063128993
52	190800	-0.32838804598084675
53	194400	-0.48227655617763776
54	198000	-0.5121387214408335
55	201600	-0.41720604229930947
56	205200	-0.1487432261789884
57	208800	0.22299213431946488
58	212400	0.5192243234818741
59	216000	0.6826139262560262
60	219600	0.7282636135919239
61	223200	0.6503525181844209
62	226800	0.43141094785380113
63	230400	0.09439468072861902
64	234000	-0.21434185994018928
65	237600	-0.40305682508767376
66	241200	-0.4520260941067829
67	244800	-0.3772071350914149
68	248400	-0.15704413655558255
69	252000	0.20516503384888554
70	255600	0.5937308788053902
71	259200	0.830401013439921
72	262800	0.9312135650950305
73	266400	0.898496629797419
74	270000	0.7224508104527857
75	273600	0.3845227319854188
76	277200	0.026810982853409306
77	280800	-0.22270936899510693
78	284400	-0.3584417283846858
79	288000	-0.3702252819819947
80	291600	-0.23432587424899257
81	295200	0.06549949422750027
82	298800	0.4425188189887757
83	302400	0.735437200953649
84	306000	0.8754833337741723
85	309600	0.8853020341765296
86	313200	0.7671984865028635
87	316800	0.48015387694557166
88	320400	0.12624874096492486
89	324000	-0.17105241669560678
90	327600	-0.33448763462745623
91	331200	-0.36032096369214384
92	334800	-0.24200029802686632
93	338400	0.01426267993811754
94	342000	0.36793062976884533
95	345600	0.7094934847830479
96	349200	0.8831604845122781
97	352800	0.9355672327652604
98	356400	0.8598935803475302
99	360000	0.6536370123612841
100	363600	0.3171809942356713
101	367200	-0.04753410113869224
102	370800	-0.2684250071871839
103	374400	-0.37329256952571227
104	378000	-0.3534434204128451
105	381600	-0.17181542009188397
106	385200	0.16297931366813537
107	388800	0.5348141709400884
108	392400	0.7650735042232615
109	396000	0.8757534054596983
110	399600	0.8496973829905811
111	403200	0.7003349956670495
112	406800	0.3844740578191691
113	410400	0.014372882646919775
114	414000	-0.2604035162014009
115	417600	-0.41538762078187463
116	421200	-0.4466581717639877
117	424800	-0.31565712319552613
118	428400	-0.044128227346979215
119	432000	0.33473917591700664
120	435600	0.6177815587482142
121	439200	0.7569843268355756
122	442800	0.7592417060418345
123	446400	0.6587280126366761
124	450000	0.41719755961611327
125	453600	0.05892243704757893
126	457200	-0.2434520940333157
127	460800	-0.4176103798544994
128	464400	-0.49420452917719826
129	468000	-0.4220144523146897
130	471600	-0.203175837705367
131	475200	0.1468361673841867
132	478800	0.4738874303842883
133	482400	0.6670989459761107
134	486000	0.7173911961455243
135	489600	0.6523919773807113
136	493200	0.4780899090202845
137	496800	0.1652219835036478
138	500400	-0.17856938049439977
139	504000	-0.4094303484363513
140	507600	-0.515740813068284
141	511200	-0.5133629750518458
142	514800	-0.37341966497976103
143	518400	-0.08472463528924966
144	522000	0.27252774074768227
145	525600	0.5124700509802431
146	529200	0.61328995926767
147	532800	0.5933242766399331
148	536400	0.48282916835757056
149	540000	0.2506363883296881
150	543600	-0.06483501002972397
151	547200	-0.3072152693152003
152	550800	-0.39908635539310544
153	554400	-0.40142586601028946
154	558000	-0.29303366412355786
155	561600	-0.04208702632517327
156	565200	0.32407284969057354
157	568800	0.6399096113075565
158	572400	0.7879000671349772
159	576000	0.8039460767437262
160	579600	0.7467337045250076
161	583200	0.5663598377678685
162	586800	0.27290324505208174
163	590400	-0.02073116934641593
164	594000	-0.20739314770354605
165	597600	-0.29178648759701653
166	601200	-0.26933823899934717
167	604800	-0.12939925844426256
168	608400	0.15091489950401382
169	612000	0.44589768130235957
170	615600	0.636166963446571
171	619200	0.6720167448414063
172	622800	0.6277173985462373
173	626400	0.508359648013329
174	630000	0.26325202640920486
175	633600	-0.01867811470589387
176	637200	-0.19170308280513437
177	640800	-0.2606848604691299
178	644400	-0.26530947252407583
179	648000	-0.1692804910749942
180	651600	0.048163236742391265
181	655200	0.3645172755462415
182	658800	0.6315117758254134
183	662400	0.7426596582385115
184	666000	0.7576036015932112
185	669600	0.6606088800584731
186	673200	0.46438488876698364
187	676800	0.16600988464170835
188	680400	-0.0757893227739555
189	684000	-0.21553610813069782
190	687600	-0.27203732094921096
191	691200	-0.2468061131583181
192	694800	-0.11709027757724046
193	698400	0.11971586495605824
